scheme,d,rep,verify_us
rechain,16,79,1312.45
rechain,16,80,1491.02
rechain,16,81,1560.69
rechain,16,82,869.60
rechain,16,83,1014.38
rechain,16,84,1175.01
rechain,16,85,1728.87
rechain,16,86,1011.19
rechain,16,87,1196.97
rechain,16,88,1856.73
rechain,16,89,1311.23
rechain,16,90,1323.53
rechain,16,91,1392.25
rechain,16,92,1377.78
rechain,16,93,1412.88
rechain,16,94,1018.55
rechain,16,95,1189.21
rechain,16,96,2103.59
rechain,16,97,1046.36
rechain,16,98,1054.61
rechain,16,99,2455.23
rechain,24,0,4371.87
rechain,24,1,4001.99
rechain,24,2,5917.24
rechain,24,3,3495.12
rechain,24,4,1687.90
rechain,24,5,1775.09
rechain,24,6,1950.73
rechain,24,7,1653.11
rechain,24,8,2483.80
rechain,24,9,1722.76
rechain,24,10,2717.06
rechain,24,11,1366.56
rechain,24,12,1564.76
rechain,24,13,1756.92
rechain,24,14,1614.42
rechain,24,15,1918.77
rechain,24,16,1435.27
rechain,24,17,1942.53
rechain,24,18,2294.82
rechain,24,19,2033.87
rechain,24,20,1547.90
rechain,24,21,2719.09
rechain,24,22,1377.66
rechain,24,23,1591.62
rechain,24,24,1747.84
rechain,24,25,1506.20
rechain,24,26,2055.63
rechain,24,27,1642.10
rechain,24,28,1615.47
rechain,24,29,1545.35
rechain,24,30,2806.03
rechain,24,31,2094.74
rechain,24,32,1527.33
rechain,24,33,3735.14
rechain,24,34,1562.07
rechain,24,35,1534.32
rechain,24,36,1588.96
rechain,24,37,1528.47
rechain,24,38,1554.02
rechain,24,39,1653.99
rechain,24,40,1636.46
rechain,24,41,1460.51
rechain,24,42,1737.38
rechain,24,43,1691.26
rechain,24,44,2950.27
rechain,24,45,3510.95
rechain,24,46,3815.52
rechain,24,47,2117.98
rechain,24,48,5617.45
rechain,24,49,3429.12
rechain,24,50,1601.84
rechain,24,51,1891.97
rechain,24,52,2042.07
rechain,24,53,1954.54
rechain,24,54,6381.67
rechain,24,55,2916.83
rechain,24,56,1648.46
rechain,24,57,1382.57
rechain,24,58,1519.63
rechain,24,59,1829.31
rechain,24,60,1446.01
rechain,24,61,2946.89
rechain,24,62,1649.81
rechain,24,63,2453.88
rechain,24,64,1564.98
rechain,24,65,1661.58
rechain,24,66,1554.84
rechain,24,67,1519.35
rechain,24,68,1538.71
rechain,24,69,1525.18
rechain,24,70,1936.70
rechain,24,71,1409.16
rechain,24,72,2384.43
rechain,24,73,1561.67
rechain,24,74,4549.31
rechain,24,75,2671.90
rechain,24,76,3426.03
rechain,24,77,3723.76
rechain,24,78,2388.69
rechain,24,79,1438.02
rechain,24,80,1561.49
rechain,24,81,2043.45
rechain,24,82,2078.43
rechain,24,83,1930.97
rechain,24,84,1886.88
rechain,24,85,1631.28
rechain,24,86,1549.83
rechain,24,87,2241.21
rechain,24,88,1742.35
rechain,24,89,1263.68
