scheme,d,rep,verify_us
evmldsa,0,37,68.50
evmldsa,0,38,66.90
evmldsa,0,39,68.76
evmldsa,0,40,67.58
evmldsa,0,41,71.78
evmldsa,0,42,67.12
evmldsa,0,43,67.23
evmldsa,0,44,69.47
evmldsa,0,45,67.64
evmldsa,0,46,66.78
evmldsa,0,47,67.23
evmldsa,0,48,68.26
evmldsa,0,49,67.97
evmldsa,0,50,68.38
evmldsa,0,51,70.99
evmldsa,0,52,77.87
evmldsa,0,53,66.60
evmldsa,0,54,68.12
evmldsa,0,55,67.10
evmldsa,0,56,66.90
evmldsa,0,57,66.86
evmldsa,0,58,68.37
evmldsa,0,59,66.52
evmldsa,0,60,71.01
evmldsa,0,61,68.09
evmldsa,0,62,68.04
evmldsa,0,63,69.49
evmldsa,0,64,67.01
evmldsa,0,65,69.66
evmldsa,0,66,67.34
evmldsa,0,67,766.86
evmldsa,0,68,71.57
evmldsa,0,69,66.80
evmldsa,0,70,120.01
evmldsa,0,71,92.63
evmldsa,0,72,92.02
evmldsa,0,73,54.31
evmldsa,0,74,51.46
evmldsa,0,75,51.44
evmldsa,0,76,51.53
evmldsa,0,77,54.13
evmldsa,0,78,64.33
evmldsa,0,79,67.18
evmldsa,0,80,55.56
evmldsa,0,81,56.51
evmldsa,0,82,57.19
evmldsa,0,83,57.09
evmldsa,0,84,57.23
evmldsa,0,85,57.27
evmldsa,0,86,57.83
evmldsa,0,87,62.42
evmldsa,0,88,63.63
evmldsa,0,89,62.45
evmldsa,0,90,68.36
evmldsa,0,91,64.74
evmldsa,0,92,66.43
evmldsa,0,93,63.37
evmldsa,0,94,67.97
evmldsa,0,95,72.20
evmldsa,0,96,69.81
evmldsa,0,97,69.99
evmldsa,0,98,69.75
evmldsa,0,99,67.32
evmldsa,0,100,69.06
evmldsa,0,101,68.96
evmldsa,0,102,70.81
evmldsa,0,103,71.35
evmldsa,0,104,75.93
evmldsa,0,105,73.21
evmldsa,0,106,72.80
evmldsa,0,107,72.63
evmldsa,0,108,71.38
evmldsa,0,109,75.66
evmldsa,0,110,76.95
evmldsa,0,111,226.06
evmldsa,0,112,94.37
evmldsa,0,113,166.82
evmldsa,0,114,89.35
evmldsa,0,115,212.33
evmldsa,0,116,76.47
evmldsa,0,117,76.01
evmldsa,0,118,84.96
evmldsa,0,119,78.09
evmldsa,0,120,76.61
evmldsa,0,121,72.19
evmldsa,0,122,71.93
evmldsa,0,123,72.66
evmldsa,0,124,78.72
evmldsa,0,125,71.95
evmldsa,0,126,71.92
evmldsa,0,127,74.79
evmldsa,0,128,76.14
evmldsa,0,129,75.17
evmldsa,0,130,81.87
evmldsa,0,131,72.14
evmldsa,0,132,75.20
evmldsa,0,133,74.86
evmldsa,0,134,76.06
evmldsa,0,135,84.50
evmldsa,0,136,74.04
evmldsa,0,137,84.45
evmldsa,0,138,60.01
evmldsa,0,139,56.33
evmldsa,0,140,55.76
evmldsa,0,141,63.04
evmldsa,0,142,56.09
